category,p_area,p_date
1,1,01
1,10,01
0,24,01
1,6,01
1,3,01
0,18,01
1,6,01
1,1,01
1,13,01
1,22,01
1,7,01
1,9,01
1,9,01
1,18,01
0,23,01
0,5,01
1,3,01
1,3,01
1,29,01
1,20,01
1,6,01
0,14,01
1,23,01
1,29,01
1,25,01
1,10,01
0,20,01
1,1,01
1,17,01
0,3,01
1,8,01
1,24,01
1,18,01
1,13,01
1,2,01
1,7,01
1,1,01
1,4,01
1,20,01
1,20,01
1,13,01
1,15,01
1,3,01
1,3,01
1,23,01
1,9,01
1,7,01
1,11,01
1,11,01
1,11,01
1,11,01
1,11,01
1,11,01
1,11,01
1,11,01
1,11,01
1,4,01
1,5,01
1,5,01
1,5,01
1,9,01
1,15,01
1,22,01
1,2,01
1,22,01
1,10,02
1,10,02
1,9,02
1,18,02
1,10,02
1,1,02
1,3,02
1,3,02
1,15,02
1,7,02
1,19,02
1,7,02
1,15,02
1,25,02
1,1,02
1,15,02
1,25,02
1,11,02
1,3,02
1,3,02
1,18,02
1,5,02
1,6,02
1,22,02
1,29,02
1,16,02
1,22,02
1,6,02
1,13,02
1,20,02
1,15,02
1,22,02
1,24,02
1,6,02
1,13,02
1,29,02
1,21,02
1,20,02
1,13,02
1,23,02
1,21,02
1,15,02
1,4,02
1,10,02
1,11,02
1,3,02
1,15,02
1,20,02
1,25,02
1,15,02
1,9,02
1,5,02
1,15,02
1,15,02
1,3,02
1,10,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,11,02
1,19,02
1,12,02
1,19,02
0,19,02
0,19,02
0,19,02
0,19,02
0,19,02
1,19,02
1,19,02
1,19,02
1,19,02
1,19,02
1,19,02
1,19,02
1,10,02
1,15,02
1,19,02
1,28,02
1,16,02
1,25,02
0,3,02
1,10,02
1,5,02
0,22,02
1,16,02
1,16,02
0,3,02
1,27,02
1,22,02
1,22,02
1,22,02
1,22,02
1,22,02
1,22,02
1,21,02
1,10,02
1,9,02
1,20,03
1,2,03
1,7,03
1,4,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
1,24,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
1,16,03
0,6,03
1,20,03
1,15,03
1,9,03
1,13,03
1,10,03
1,10,03
1,10,03
1,10,03
1,10,03
1,10,03
1,10,03
1,10,03
1,14,03
1,19,03
1,10,03
1,5,03
1,5,03
1,5,03
1,16,03
1,6,03
0,22,03
1,15,03
1,15,03
1,4,03
1,21,03
1,15,03
1,10,03
0,13,03
1,15,03
0,3,03
1,10,03
1,23,03
1,5,03
1,5,03
1,5,03
1,5,03
1,5,03
1,5,03
1,5,03
1,5,03
1,15,03
1,7,03
0,7,03
0,2,03
0,2,03
0,2,03
0,2,03
0,2,03
1,11,03
1,16,03
1,18,03
1,6,03
1,28,03
1,28,03
1,28,03
1,28,03
1,10,03
0,17,03
1,26,03
1,25,03
0,5,03
1,16,03
1,16,03
1,19,03
1,28,03
1,20,03
1,20,03
1,경북청 경주,03
1,4,03
1,3,03
1,24,03
1,15,03
1,22,03
1,24,03
0,16,03
1,10,03
1,15,03
1,4,03
1,4,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,11,03
1,2,03
1,19,03
1,19,03
1,19,03
1,19,03
1,19,03
1,9,03
1,3,03
1,5,03
1,3,03
1,3,03
1,20,03
1,4,03
1,11,03
1,10,03
0,11,03
1,9,03
1,9,03
1,25,03
1,20,03
1,22,03
1,17,03
1,17,03
1,5,03
0,25,03
1,4,03
1,10,03
1,18,03
1,18,03
0,5,03
0,5,03
1,12,03
1,9,03
1,3,03
1,10,03
1,29,03
1,15,04
1,4,04
1,23,04
1,18,04
1,5,04
1,23,04
1,23,04
1,14,04
1,4,04
1,16,04
1,경기남부청 광주,04
1,9,04
1,10,04
1,10,04
1,10,04
1,10,04
1,15,04
1,15,04
1,1,04
1,21,04
0,2,04
0,2,04
0,2,04
0,2,04
0,2,04
0,9,04
1,15,04
0,1,04
1,25,04
1,3,04
1,3,04
1,13,04
1,13,04
1,15,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,22,04
1,9,04
1,9,04
1,12,04
1,13,04
1,9,04
1,29,04
0,0,04
0,0,04
0,0,04
0,0,04
0,0,04
1,2,04
1,24,04
1,24,04
1,29,04
1,6,04
1,4,04
0,1,04
1,22,04
0,12,04
1,6,04
1,3,04
1,19,04
1,6,04
0,12,04
1,전북청 전주덕진,04
1,9,04
1,15,04
1,9,04
1,15,04
1,4,04
1,3,04
1,3,04
1,10,04
1,10,04
1,10,04
1,20,04
0,21,04
1,13,04
0,0,04
1,9,04
1,6,04
1,7,04
0,25,04
0,15,04
0,4,04
1,7,04
1,7,04
1,9,04
1,1,04
1,1,04
1,15,04
1,17,04
1,5,04
1,5,04
0,24,04
0,24,04
0,24,04
0,24,04
1,28,04
1,28,04
1,28,04
1,28,04
1,15,04
1,28,04
1,23,04
1,27,04
1,25,04
1,9,04
0,13,04
1,14,04
1,10,04
1,7,04
1,29,04
1,9,04
1,24,04
0,18,04
1,23,04
1,9,04
0,20,04
1,10,04
1,11,04
1,9,04
1,20,04
1,20,04
1,25,04
1,3,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,11,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,19,04
1,15,04
1,19,04
1,19,04
1,19,04
1,10,04
1,18,04
1,13,04
0,13,04
1,20,04
0,13,04
0,13,04
0,13,04
1,13,04
1,15,04
1,25,05
1,5,05
1,10,05
1,10,05
1,10,05
1,10,05
1,10,05
1,10,05
0,16,05
1,6,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,17,05
1,4,05
1,17,05
1,17,05
1,17,05
1,17,05
0,24,05
1,3,05
1,15,05
1,4,05
1,6,05
1,10,05
0,0,05
0,0,05
0,0,05
0,0,05
0,0,05
0,0,05
0,1,05
1,9,05
1,10,05
1,9,05
1,3,05
1,22,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,3,05
1,9,05
1,12,05
1,24,05
1,22,05
1,22,05
1,1,05
1,9,05
1,9,05
1,7,05
1,7,05
1,7,05
1,7,05
1,25,05
1,7,05
1,7,05
0,21,05
1,10,05
1,25,05
1,25,05
1,25,05
1,25,05
1,25,05
1,25,05
1,25,05
1,25,05
1,10,05
1,20,05
1,7,05
0,13,05
1,11,05
1,22,05
1,22,05
1,22,05
1,22,05
1,2,05
0,0,05
1,24,05
0,0,05
1,29,05
1,18,05
1,22,05
1,13,05
1,5,05
1,11,05
1,29,05
1,29,05
1,16,05
1,3,05
1,2,05
0,29,05
1,28,05
1,28,05
1,5,05
1,10,05
1,0,05
1,13,05
1,15,05
1,23,05
1,10,05
1,10,05
1,10,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,9,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
0,22,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,12,05
1,11,05
1,5,05
0,14,05
0,21,05
0,1,05
1,10,05
1,16,05
0,25,05
1,11,05
1,6,05
1,23,05
1,25,05
1,25,05
1,24,05
1,10,05
1,22,05
1,25,05
1,25,05
0,13,05
1,19,05
1,9,05
1,22,05
1,28,05
1,2,05
1,3,05
0,20,05
1,12,05
1,13,05
1,13,05
1,13,05
1,13,05
1,13,05
1,13,05
1,13,05
1,13,05
1,13,05
1,15,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,11,05
1,22,05
1,11,05
1,11,05
1,15,05
1,19,05
1,19,05
1,19,05
1,19,05
1,19,05
1,3,05
1,19,05
1,13,05
1,1,05
1,20,05
1,20,05
1,20,05
0,21,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,20,05
1,23,05
1,15,05
1,22,05
0,2,05
1,10,05
0,2,05
0,6,05
0,3,05
1,20,05
1,22,05
1,3,05
1,7,05
1,7,05
0,22,05
0,4,05
1,9,05
1,22,05
0,3,05
1,3,05
1,9,05
0,5,05
1,16,05
1,16,05
0,27,05
1,13,05
1,10,06
0,20,06
0,19,06
